	Open	High	Low	Close	Volume	TradingDate	Code
0	113270.0	113270.0	109400.0	111780.0	219900	2022-05-10 02:00:00	MSN
1	111780.0	112770.0	110980.0	112770.0	213100	2022-05-10 03:00:00	MSN
2	112770.0	113070.0	111780.0	112970.0	59400	2022-05-10 04:00:00	MSN
3	112670.0	114160.0	112270.0	114060.0	196700	2022-05-10 06:00:00	MSN
4	114060.0	115250.0	112870.0	115250.0	399500	2022-05-10 07:00:00	MSN
5	115250.0	115250.0	115250.0	115250.0	0	2022-05-10 08:00:00	MSN
6	112870.0	114160.0	112270.0	112570.0	138700	2022-05-11 02:00:00	MSN
7	112570.0	112570.0	111680.0	111880.0	167600	2022-05-11 03:00:00	MSN
8	111880.0	112080.0	110690.0	111380.0	152000	2022-05-11 04:00:00	MSN
9	111380.0	112180.0	110980.0	112180.0	212200	2022-05-11 06:00:00	MSN
10	112180.0	113660.0	111080.0	111080.0	320300	2022-05-11 07:00:00	MSN
11	111080.0	111880.0	110490.0	110490.0	83000	2022-05-12 02:00:00	MSN
12	110490.0	110690.0	109200.0	109200.0	179100	2022-05-12 03:00:00	MSN
13	109200.0	109300.0	105720.0	107210.0	104000	2022-05-12 04:00:00	MSN
14	107210.0	107210.0	103340.0	103740.0	395400	2022-05-12 06:00:00	MSN
15	103740.0	106220.0	103340.0	103340.0	300100	2022-05-12 07:00:00	MSN
16	103340.0	103340.0	103340.0	103340.0	0	2022-05-12 08:00:00	MSN
17	102350.0	104230.0	100760.0	102740.0	293800	2022-05-13 02:00:00	MSN
18	102740.0	103140.0	100660.0	102840.0	263500	2022-05-13 03:00:00	MSN
19	102250.0	102250.0	100260.0	100260.0	122800	2022-05-13 04:00:00	MSN
20	100260.0	102450.0	96190.0	99170.0	329400	2022-05-13 06:00:00	MSN
21	99170.0	100260.0	96190.0	96190.0	752100	2022-05-13 07:00:00	MSN
22	96190.0	96190.0	96190.0	96190.0	0	2022-05-13 08:00:00	MSN
23	98280.0	98870.0	96290.0	97680.0	89600	2022-05-16 02:00:00	MSN
24	97680.0	98080.0	95100.0	95100.0	146100	2022-05-16 03:00:00	MSN
25	95100.0	97280.0	95100.0	96090.0	101600	2022-05-16 04:00:00	MSN
26	96290.0	96790.0	90430.0	94110.0	256000	2022-05-16 06:00:00	MSN
27	94110.0	94410.0	89540.0	89540.0	459600	2022-05-16 07:00:00	MSN
28	89540.0	89540.0	89540.0	89540.0	0	2022-05-16 08:00:00	MSN
29	87360.0	88350.0	85070.0	86760.0	189700	2022-05-17 02:00:00	MSN
30	86760.0	89340.0	86460.0	89050.0	308200	2022-05-17 03:00:00	MSN
31	88750.0	89340.0	88250.0	89340.0	200200	2022-05-17 04:00:00	MSN
32	89340.0	95800.0	89240.0	95500.0	636700	2022-05-17 06:00:00	MSN
33	95300.0	95800.0	95300.0	95800.0	239100	2022-05-17 07:00:00	MSN
34	95800.0	95800.0	95800.0	95800.0	0	2022-05-17 08:00:00	MSN
35	97380.0	97780.0	92820.0	96290.0	246600	2022-05-18 02:00:00	MSN
36	96290.0	101160.0	96090.0	101160.0	364700	2022-05-18 03:00:00	MSN
37	101160.0	102450.0	100460.0	102450.0	402200	2022-05-18 04:00:00	MSN
38	102450.0	102450.0	102450.0	102450.0	176400	2022-05-18 06:00:00	MSN
39	102450.0	102450.0	102450.0	102450.0	101700	2022-05-18 07:00:00	MSN
40	102450.0	102450.0	102450.0	102450.0	0	2022-05-18 08:00:00	MSN
41	101260.0	107010.0	99270.0	106220.0	387300	2022-05-19 02:00:00	MSN
42	106220.0	106910.0	105520.0	106220.0	207300	2022-05-19 03:00:00	MSN
43	106220.0	107010.0	106120.0	106520.0	71700	2022-05-19 04:00:00	MSN
44	106520.0	107010.0	106120.0	106220.0	239800	2022-05-19 06:00:00	MSN
