	Open	High	Low	Close	Volume	TradingDate	Code
0	11090.0	11680.0	11090.0	11680.0	47000	2022-05-10 02:00:00	ITD
1	11730.0	11770.0	11550.0	11550.0	35800	2022-05-10 03:00:00	ITD
2	11590.0	11730.0	11550.0	11640.0	4000	2022-05-10 04:00:00	ITD
3	11640.0	11770.0	11590.0	11680.0	21500	2022-05-10 06:00:00	ITD
4	11680.0	12000.0	11680.0	12000.0	31700	2022-05-10 07:00:00	ITD
5	12000.0	12000.0	12000.0	12000.0	0	2022-05-10 08:00:00	ITD
6	12000.0	12640.0	12000.0	12050.0	13400	2022-05-11 02:00:00	ITD
7	12090.0	12180.0	12090.0	12090.0	16400	2022-05-11 03:00:00	ITD
8	12090.0	12180.0	12050.0	12090.0	5000	2022-05-11 04:00:00	ITD
9	12090.0	12270.0	12050.0	12270.0	10700	2022-05-11 06:00:00	ITD
10	12270.0	12410.0	12090.0	12410.0	29300	2022-05-11 07:00:00	ITD
11	12230.0	12230.0	12000.0	12140.0	8600	2022-05-12 02:00:00	ITD
12	12140.0	12270.0	12090.0	12090.0	24800	2022-05-12 03:00:00	ITD
13	12090.0	12270.0	12090.0	12270.0	4700	2022-05-12 04:00:00	ITD
14	12270.0	12320.0	12000.0	12050.0	70700	2022-05-12 06:00:00	ITD
15	12270.0	12270.0	12000.0	12050.0	102300	2022-05-12 07:00:00	ITD
16	12050.0	12050.0	12050.0	12050.0	0	2022-05-12 08:00:00	ITD
17	12090.0	12320.0	11550.0	12270.0	131700	2022-05-13 02:00:00	ITD
18	12270.0	12270.0	12000.0	12000.0	32500	2022-05-13 03:00:00	ITD
19	12180.0	12180.0	12000.0	12050.0	4200	2022-05-13 04:00:00	ITD
20	12000.0	12050.0	11230.0	11640.0	66000	2022-05-13 06:00:00	ITD
21	11640.0	11640.0	11230.0	11270.0	50500	2022-05-13 07:00:00	ITD
22	11270.0	11270.0	11270.0	11270.0	0	2022-05-13 08:00:00	ITD
23	11640.0	11910.0	11590.0	11680.0	18600	2022-05-16 02:00:00	ITD
24	11680.0	11730.0	11360.0	11360.0	32400	2022-05-16 03:00:00	ITD
25	11360.0	11550.0	11360.0	11450.0	6000	2022-05-16 04:00:00	ITD
26	11450.0	11640.0	11360.0	11450.0	43200	2022-05-16 06:00:00	ITD
27	11680.0	11680.0	11640.0	11640.0	6100	2022-05-16 07:00:00	ITD
28	11640.0	11640.0	11640.0	11640.0	0	2022-05-16 08:00:00	ITD
29	11640.0	11770.0	11640.0	11770.0	13600	2022-05-17 02:00:00	ITD
30	11770.0	12000.0	11680.0	11910.0	16900	2022-05-17 03:00:00	ITD
31	11910.0	11910.0	11910.0	11910.0	3800	2022-05-17 04:00:00	ITD
32	11820.0	12360.0	11820.0	12360.0	33500	2022-05-17 06:00:00	ITD
